num_qubits,model_family,noise_model_name,train_size,noise_strength,seeds_present,seeds
5,su2_qcnn,depolarizing,16,0.05,3,"0,1,2"
5,su2_qcnn,depolarizing,16,0.1,3,"0,1,2"
7,hea_qcnn,coherent_overrotation,4,0.0,3,"0,1,2"
7,hea_qcnn,coherent_overrotation,4,0.001,3,"0,1,2"
7,hea_qcnn,coherent_overrotation,4,0.005,3,"0,1,2"
7,hea_qcnn,coherent_overrotation,4,0.01,3,"0,1,2"
7,hea_qcnn,coherent_overrotation,4,0.05,3,"0,1,2"
7,hea_qcnn,coherent_overrotation,4,0.1,3,"0,1,2"
7,hea_qcnn,coherent_overrotation,8,0.0,3,"0,1,2"
7,hea_qcnn,coherent_overrotation,8,0.001,3,"0,1,2"
7,hea_qcnn,coherent_overrotation,8,0.005,3,"0,1,2"
7,hea_qcnn,coherent_overrotation,8,0.01,3,"0,1,2"
7,hea_qcnn,coherent_overrotation,8,0.05,3,"0,1,2"
7,hea_qcnn,coherent_overrotation,8,0.1,3,"0,1,2"
7,hea_qcnn,coherent_overrotation,12,0.0,3,"0,1,2"
7,hea_qcnn,coherent_overrotation,12,0.001,3,"0,1,2"
7,hea_qcnn,coherent_overrotation,12,0.005,3,"0,1,2"
7,hea_qcnn,coherent_overrotation,12,0.01,3,"0,1,2"
7,hea_qcnn,coherent_overrotation,12,0.05,3,"0,1,2"
7,hea_qcnn,coherent_overrotation,12,0.1,3,"0,1,2"
7,hea_qcnn,coherent_overrotation,16,0.0,3,"0,1,2"
7,hea_qcnn,coherent_overrotation,16,0.001,3,"0,1,2"
7,hea_qcnn,coherent_overrotation,16,0.005,3,"0,1,2"
7,hea_qcnn,coherent_overrotation,16,0.01,3,"0,1,2"
7,hea_qcnn,coherent_overrotation,16,0.05,3,"0,1,2"
7,hea_qcnn,coherent_overrotation,16,0.1,3,"0,1,2"
7,hea_qcnn,depolarizing,4,0.0,3,"0,1,2"
7,hea_qcnn,depolarizing,4,0.001,3,"0,1,2"
7,hea_qcnn,depolarizing,4,0.005,3,"0,1,2"
7,hea_qcnn,depolarizing,4,0.01,3,"0,1,2"
7,hea_qcnn,depolarizing,4,0.05,3,"0,1,2"
7,hea_qcnn,depolarizing,4,0.1,3,"0,1,2"
7,hea_qcnn,depolarizing,8,0.0,3,"0,1,2"
7,hea_qcnn,depolarizing,8,0.001,3,"0,1,2"
7,hea_qcnn,depolarizing,8,0.005,3,"0,1,2"
7,hea_qcnn,depolarizing,8,0.01,3,"0,1,2"
7,hea_qcnn,depolarizing,8,0.05,3,"0,1,2"
7,hea_qcnn,depolarizing,8,0.1,3,"0,1,2"
7,hea_qcnn,depolarizing,12,0.0,3,"0,1,2"
7,hea_qcnn,depolarizing,12,0.001,3,"0,1,2"
7,hea_qcnn,depolarizing,12,0.005,3,"0,1,2"
7,hea_qcnn,depolarizing,12,0.01,3,"0,1,2"
7,hea_qcnn,depolarizing,12,0.05,3,"0,1,2"
7,hea_qcnn,depolarizing,12,0.1,3,"0,1,2"
7,hea_qcnn,depolarizing,16,0.0,3,"0,1,2"
7,hea_qcnn,depolarizing,16,0.001,3,"0,1,2"
7,hea_qcnn,depolarizing,16,0.005,3,"0,1,2"
7,hea_qcnn,depolarizing,16,0.01,3,"0,1,2"
7,hea_qcnn,depolarizing,16,0.05,3,"0,1,2"
7,hea_qcnn,depolarizing,16,0.1,3,"0,1,2"
7,su2_qcnn,coherent_overrotation,4,0.0,3,"0,1,2"
7,su2_qcnn,coherent_overrotation,4,0.001,3,"0,1,2"
7,su2_qcnn,coherent_overrotation,4,0.005,3,"0,1,2"
7,su2_qcnn,coherent_overrotation,4,0.01,3,"0,1,2"
7,su2_qcnn,coherent_overrotation,4,0.05,3,"0,1,2"
7,su2_qcnn,coherent_overrotation,4,0.1,3,"0,1,2"
7,su2_qcnn,coherent_overrotation,8,0.0,3,"0,1,2"
7,su2_qcnn,coherent_overrotation,8,0.001,3,"0,1,2"
7,su2_qcnn,coherent_overrotation,8,0.005,3,"0,1,2"
7,su2_qcnn,coherent_overrotation,8,0.01,3,"0,1,2"
7,su2_qcnn,coherent_overrotation,8,0.05,3,"0,1,2"
7,su2_qcnn,coherent_overrotation,8,0.1,3,"0,1,2"
7,su2_qcnn,coherent_overrotation,12,0.0,3,"0,1,2"
7,su2_qcnn,coherent_overrotation,12,0.001,3,"0,1,2"
7,su2_qcnn,coherent_overrotation,12,0.005,3,"0,1,2"
7,su2_qcnn,coherent_overrotation,12,0.01,3,"0,1,2"
7,su2_qcnn,coherent_overrotation,12,0.05,3,"0,1,2"
7,su2_qcnn,coherent_overrotation,12,0.1,3,"0,1,2"
7,su2_qcnn,coherent_overrotation,16,0.0,3,"0,1,2"
7,su2_qcnn,coherent_overrotation,16,0.001,3,"0,1,2"
7,su2_qcnn,coherent_overrotation,16,0.005,3,"0,1,2"
7,su2_qcnn,coherent_overrotation,16,0.01,3,"0,1,2"
7,su2_qcnn,coherent_overrotation,16,0.05,3,"0,1,2"
7,su2_qcnn,coherent_overrotation,16,0.1,3,"0,1,2"
7,su2_qcnn,depolarizing,4,0.0,3,"0,1,2"
7,su2_qcnn,depolarizing,4,0.001,3,"0,1,2"
7,su2_qcnn,depolarizing,4,0.005,3,"0,1,2"
7,su2_qcnn,depolarizing,4,0.01,3,"0,1,2"
7,su2_qcnn,depolarizing,4,0.05,3,"0,1,2"
7,su2_qcnn,depolarizing,4,0.1,3,"0,1,2"
7,su2_qcnn,depolarizing,8,0.0,3,"0,1,2"
7,su2_qcnn,depolarizing,8,0.001,3,"0,1,2"
7,su2_qcnn,depolarizing,8,0.005,3,"0,1,2"
7,su2_qcnn,depolarizing,8,0.01,3,"0,1,2"
7,su2_qcnn,depolarizing,8,0.05,3,"0,1,2"
7,su2_qcnn,depolarizing,8,0.1,3,"0,1,2"
7,su2_qcnn,depolarizing,12,0.0,3,"0,1,2"
7,su2_qcnn,depolarizing,12,0.001,3,"0,1,2"
7,su2_qcnn,depolarizing,12,0.005,3,"0,1,2"
7,su2_qcnn,depolarizing,12,0.01,3,"0,1,2"
7,su2_qcnn,depolarizing,12,0.05,3,"0,1,2"
7,su2_qcnn,depolarizing,12,0.1,3,"0,1,2"
7,su2_qcnn,depolarizing,16,0.0,3,"0,1,2"
7,su2_qcnn,depolarizing,16,0.001,3,"0,1,2"
7,su2_qcnn,depolarizing,16,0.005,3,"0,1,2"
7,su2_qcnn,depolarizing,16,0.01,3,"0,1,2"
7,su2_qcnn,depolarizing,16,0.05,3,"0,1,2"
7,su2_qcnn,depolarizing,16,0.1,3,"0,1,2"
9,su2_qcnn,coherent_overrotation,4,0.0,3,"0,1,2"
9,su2_qcnn,coherent_overrotation,4,0.001,3,"0,1,2"
9,su2_qcnn,coherent_overrotation,4,0.005,3,"0,1,2"
9,su2_qcnn,coherent_overrotation,4,0.01,3,"0,1,2"
9,su2_qcnn,coherent_overrotation,4,0.05,3,"0,1,2"
9,su2_qcnn,coherent_overrotation,4,0.1,3,"0,1,2"
9,su2_qcnn,coherent_overrotation,8,0.0,3,"0,1,2"
9,su2_qcnn,coherent_overrotation,8,0.001,3,"0,1,2"
9,su2_qcnn,coherent_overrotation,8,0.005,3,"0,1,2"
9,su2_qcnn,coherent_overrotation,8,0.01,3,"0,1,2"
9,su2_qcnn,coherent_overrotation,8,0.05,3,"0,1,2"
9,su2_qcnn,coherent_overrotation,8,0.1,3,"0,1,2"
9,su2_qcnn,coherent_overrotation,12,0.0,3,"0,1,2"
9,su2_qcnn,coherent_overrotation,12,0.001,3,"0,1,2"
9,su2_qcnn,coherent_overrotation,12,0.005,3,"0,1,2"
9,su2_qcnn,coherent_overrotation,12,0.01,3,"0,1,2"
9,su2_qcnn,coherent_overrotation,12,0.05,3,"0,1,2"
9,su2_qcnn,coherent_overrotation,12,0.1,3,"0,1,2"
9,su2_qcnn,coherent_overrotation,16,0.0,3,"0,1,2"
9,su2_qcnn,coherent_overrotation,16,0.001,3,"0,1,2"
9,su2_qcnn,coherent_overrotation,16,0.005,3,"0,1,2"
9,su2_qcnn,coherent_overrotation,16,0.01,3,"0,1,2"
9,su2_qcnn,coherent_overrotation,16,0.05,2,"0,1"
9,su2_qcnn,depolarizing,4,0.0,3,"0,1,2"
9,su2_qcnn,depolarizing,4,0.001,3,"0,1,2"
9,su2_qcnn,depolarizing,4,0.005,3,"0,1,2"
9,su2_qcnn,depolarizing,4,0.01,3,"0,1,2"
9,su2_qcnn,depolarizing,4,0.05,3,"0,1,2"
9,su2_qcnn,depolarizing,4,0.1,3,"0,1,2"
9,su2_qcnn,depolarizing,8,0.0,3,"0,1,2"
9,su2_qcnn,depolarizing,8,0.001,3,"0,1,2"
9,su2_qcnn,depolarizing,8,0.005,3,"0,1,2"
9,su2_qcnn,depolarizing,8,0.01,3,"0,1,2"
9,su2_qcnn,depolarizing,8,0.05,3,"0,1,2"
9,su2_qcnn,depolarizing,8,0.1,3,"0,1,2"
9,su2_qcnn,depolarizing,12,0.0,3,"0,1,2"
9,su2_qcnn,depolarizing,12,0.001,3,"0,1,2"
9,su2_qcnn,depolarizing,12,0.005,3,"0,1,2"
9,su2_qcnn,depolarizing,12,0.01,3,"0,1,2"
9,su2_qcnn,depolarizing,12,0.05,3,"0,1,2"
9,su2_qcnn,depolarizing,12,0.1,3,"0,1,2"
9,su2_qcnn,depolarizing,16,0.0,3,"0,1,2"
9,su2_qcnn,depolarizing,16,0.001,3,"0,1,2"
9,su2_qcnn,depolarizing,16,0.005,3,"0,1,2"
9,su2_qcnn,depolarizing,16,0.01,1,0
